SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AverageMonthlySpend,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Retention_Action
0,58,100.35,5681.1,0,96.28983050847458,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0.37629812723931994,5820.299999999999,46.76,Medium,10% Discount + Plan Upgrade Recommendation
0,49,103.7,5036.3,1,100.726,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.6793983974270343,5081.3,65.39,High,Premium Support + Service Upgrade
0,25,105.5,2686.05,0,103.3096153846154,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0.6353968687733417,2637.5,53.73,Medium,10% Discount + Plan Upgrade Recommendation
0,69,113.25,7895.15,0,112.78785714285712,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0.07806088854995603,7814.25,32.88,Low,Loyalty Rewards + Thank You Coupon
0,52,20.65,1022.95,0,19.300943396226412,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.04347207377486391,1073.8,6.81,Low,Regular Promotional Email
0,71,106.7,7382.25,0,102.53125,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.20654619630412868,7575.7,41.04,Medium,10% Discount + Plan Upgrade Recommendation
0,10,55.2,528.35,1,48.03181818181818,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.34691930073875643,552.0,26.22,Low,Regular Promotional Email
0,21,90.05,1862.9,0,84.67727272727274,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0.7055093560364786,1891.05,56.02,Medium,10% Discount + Plan Upgrade Recommendation
1,1,39.65,39.65,1,19.825,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0.9112649583134468,39.65,63.93,High,15% Discount + Loyalty Points
0,12,19.8,202.25,0,15.557692307692308,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.14778444643049252,237.60000000000002,11.18,Low,Regular Promotional Email
0,1,20.15,20.15,1,10.075,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0.6948574352279179,20.15,48.71,Medium,Welcome Offer + Personalized Email
0,58,59.9,3505.1,0,59.40847457627118,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.06045012609275546,3474.2,16.42,Low,Regular Promotional Email
0,49,59.6,2970.3,0,59.406000000000006,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.16254589795457386,2920.4,21.63,Low,Regular Promotional Email
0,30,55.3,1530.6,0,49.37419354838709,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.24554540411972178,1659.0,23.01,Low,Regular Promotional Email
0,47,99.35,4749.15,1,98.940625,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.6926336261769894,4669.45,64.87,High,20% Discount
0,1,30.2,30.2,1,15.1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7521759415792045,30.2,52.76,Medium,Welcome Offer + Personalized Email
0,72,90.25,6369.45,0,87.2527397260274,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0.007367865037101537,6498.0,23.32,Low,Loyalty Rewards + Thank You Coupon
0,17,64.7,1093.1,1,60.727777777777774,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0.5409715843510129,1099.9,41.73,Medium,10% Discount + Plan Upgrade Recommendation
1,71,96.35,6766.95,0,93.98541666666668,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.08498891810861722,6840.849999999999,29.95,Low,Loyalty Rewards + Thank You Coupon
1,2,95.5,181.65,0,60.55,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0.7881881552308165,191.0,55.84,Medium,Welcome Offer + Personalized Email
0,27,66.15,1874.45,0,66.94464285714285,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.160002569080544,1786.0500000000002,17.47,Low,Regular Promotional Email
0,1,20.2,20.2,0,10.1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0.5409469484592732,20.2,37.94,Low,Regular Promotional Email
1,1,45.25,45.25,0,22.625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7287281288354229,45.25,51.17,Medium,Welcome Offer + Personalized Email
0,72,99.9,7251.7,0,99.33835616438355,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.08111790999897113,7192.8,30.92,Low,Loyalty Rewards + Thank You Coupon
0,5,69.7,316.9,1,52.81666666666666,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.8013624412632013,348.5,57.32,Medium,Welcome Offer + Personalized Email
0,46,74.8,3548.3,0,75.49574468085106,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.46503751707939217,3440.7999999999997,44.63,Medium,10% Discount + Plan Upgrade Recommendation
0,34,106.35,3549.25,1,101.40714285714286,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.7301051305839962,3615.8999999999996,63.79,High,20% Discount
0,11,97.85,1105.4,1,92.11666666666667,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.8920134620503463,1076.35,66.22,High,20% Discount
0,10,49.55,475.7,0,43.24545454545454,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.2885143480063931,495.5,21.93,Low,Regular Promotional Email
0,70,69.2,4872.35,0,68.62464788732395,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.06762659137343359,4844.0,21.73,Low,Regular Promotional Email
0,17,20.75,418.25,0,23.23611111111111,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.10368249660932108,352.75,8.5,Low,Regular Promotional Email
0,63,79.85,4861.45,0,75.96015625,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0.07229640001862192,5030.549999999999,22.71,Low,Loyalty Rewards + Thank You Coupon
0,13,76.2,981.45,0,70.10357142857143,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.4591498191630103,990.6,35.62,Low,Regular Promotional Email
0,49,84.5,3906.7,0,78.134,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0.6576990548973898,4140.5,60.57,High,20% Discount
0,2,49.25,97.0,0,32.333333333333336,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6692964126570944,98.5,47.2,Medium,Welcome Offer + Personalized Email
0,2,80.65,144.15,1,48.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.877056206963587,161.3,61.96,High,20% Discount
0,52,79.75,4217.8,0,79.5811320754717,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.0906363031632825,4147.0,20.9,Low,Regular Promotional Email
0,69,64.15,4254.1,0,60.77285714285715,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.07435291728246379,4426.35,20.74,Low,Regular Promotional Email
1,43,90.25,3838.75,0,87.24431818181819,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.661740608319084,3880.75,59.94,Medium,10% Discount + Plan Upgrade Recommendation
0,15,99.1,1426.4,1,89.15,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0.7293256815129755,1486.5,56.27,Medium,10% Discount + Plan Upgrade Recommendation
1,25,69.5,1752.65,0,67.40961538461539,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0.23257085048137596,1737.5,22.38,Low,Regular Promotional Email
1,8,80.65,633.3,1,70.36666666666666,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.7877748028778481,645.2,57.41,Medium,Welcome Offer + Personalized Email
1,60,74.85,4456.35,0,73.05491803278689,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0.1724361980109231,4491.0,27.83,Low,Regular Promotional Email
1,18,95.45,1752.55,1,92.23947368421052,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.8480210018577651,1718.1000000000001,65.39,High,20% Discount
0,63,99.65,6311.2,0,98.6125,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.33649430369325356,6277.950000000001,45.58,Medium,10% Discount + Plan Upgrade Recommendation
1,66,108.45,7076.35,0,105.61716417910448,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.4003032610050567,7157.7,53.14,Medium,10% Discount + Plan Upgrade Recommendation
0,34,24.95,894.3,0,25.55142857142857,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.027559353546748936,848.3,4.91,Low,Regular Promotional Email
0,72,107.5,7853.7,0,107.58493150684932,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0.2071381882854527,7740.0,41.66,Medium,10% Discount + Plan Upgrade Recommendation
0,47,100.5,4707.1,0,98.06458333333336,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.6960034127978336,4723.5,65.29,High,20% Discount
0,60,89.9,5450.7,0,89.35573770491803,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.455381754569417,5394.0,50.8,Medium,10% Discount + Plan Upgrade Recommendation
0,72,42.1,2962.0,0,40.57534246575342,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09200050186738418,3031.2000000000003,17.08,Low,Regular Promotional Email
0,18,54.4,957.1,0,50.37368421052632,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0.2921163150200826,979.1999999999999,23.88,Low,Regular Promotional Email
0,9,94.4,857.25,1,85.725,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.8475912039489298,849.6,62.31,High,20% Discount
0,3,75.3,244.1,0,61.025,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0.5730219840280087,225.89999999999998,40.9,Medium,Welcome Offer + Personalized Email
0,47,78.9,3650.35,0,76.04895833333333,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.36865509836956223,3708.3,38.82,Low,Regular Promotional Email
0,31,79.2,2497.2,0,78.0375,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0.08302510290376566,2455.2000000000003,14.43,Low,Regular Promotional Email
0,50,20.15,930.9,0,18.25294117647059,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.02704661547892511,1007.4999999999999,5.43,Low,Regular Promotional Email
0,10,79.85,887.35,0,80.66818181818182,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.6321074601092009,798.5,47.05,Medium,Welcome Offer + Personalized Email
0,1,49.05,49.05,0,24.525,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.6229694435997492,49.05,43.78,Medium,Welcome Offer + Personalized Email
0,52,20.4,1090.65,0,20.578301886792456,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.04892183469122014,1060.8,7.15,Low,Regular Promotional Email
1,64,111.6,7099.0,0,109.21538461538462,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.25865324641061266,7142.4,43.17,Medium,10% Discount + Plan Upgrade Recommendation
0,62,24.25,1424.6,0,22.61269841269841,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.04334031447783491,1503.5,8.31,Low,Regular Promotional Email
0,3,64.5,177.4,0,44.35,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.4491680401125806,193.5,32.12,Low,Regular Promotional Email
1,56,110.5,6139.5,0,107.71052631578948,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0.404981231996186,6188.0,50.06,Medium,10% Discount + Plan Upgrade Recommendation
0,46,55.65,2688.85,0,57.2095744680851,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.21332677274811646,2559.9,23.91,Low,Regular Promotional Email
0,8,54.65,482.25,0,53.583333333333336,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3235317262105528,437.2,24.18,Low,Regular Promotional Email
1,30,74.75,2111.3,0,68.10645161290323,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.3277058019276587,2242.5,30.81,Low,Regular Promotional Email
0,45,25.9,1216.6,0,26.44782608695652,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0.07849648082646432,1165.5,9.58,Low,Regular Promotional Email
0,1,79.35,79.35,1,39.675,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.9095376985910862,79.35,63.95,High,15% Discount + Loyalty Points
0,11,50.55,565.35,0,47.1125,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.473999811186899,556.05,35.13,Low,Regular Promotional Email
0,7,75.15,496.9,1,62.1125,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.799262673623749,526.0500000000001,57.79,Medium,Welcome Offer + Personalized Email
0,42,103.8,4327.5,0,100.63953488372093,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0.49851338022648484,4359.599999999999,50.19,Medium,10% Discount + Plan Upgrade Recommendation
0,49,20.15,973.35,0,19.467,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.02108887854668025,987.3499999999999,4.94,Low,Regular Promotional Email
0,9,99.3,918.75,0,91.875,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0.8369185671783814,893.6999999999999,61.72,High,20% Discount
0,35,62.15,2215.45,0,61.540277777777774,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.12749514600300504,2175.25,16.56,Low,Regular Promotional Email
0,48,20.65,1057.0,0,21.571428571428573,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.02412667668098104,991.1999999999999,5.17,Low,Regular Promotional Email
0,46,19.95,927.1,0,19.72553191489362,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.01900206146077739,917.6999999999999,4.55,Low,Regular Promotional Email
0,29,33.75,1009.25,0,33.641666666666666,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.45021306065390204,978.75,34.95,Low,Regular Promotional Email
0,30,82.05,2570.2,0,82.90967741935484,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4422167354901897,2461.5,39.59,Low,Regular Promotional Email
1,1,74.7,74.7,0,37.35,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.7685667297628407,74.7,54.06,Medium,Welcome Offer + Personalized Email
0,66,84.0,5714.25,0,85.28731343283582,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0.07268127840762906,5544.0,24.54,Low,Loyalty Rewards + Thank You Coupon
0,65,111.05,7107.0,0,107.6818181818182,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0.34816762339498686,7218.25,49.7,Medium,10% Discount + Plan Upgrade Recommendation
0,72,100.9,7459.05,0,102.17876712328768,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.26060804715564617,7264.8,43.73,Medium,10% Discount + Plan Upgrade Recommendation
0,12,78.95,927.35,1,71.33461538461539,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7568117825670951,947.4000000000001,56.3,Medium,10% Discount + Plan Upgrade Recommendation
0,71,66.85,4748.7,0,65.95416666666667,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.11065413075324197,4746.349999999999,24.4,Low,Regular Promotional Email
0,5,21.05,113.85,1,18.975,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.2768260378439413,105.25,19.75,Low,Regular Promotional Email
0,52,21.0,1107.2,0,20.89056603773585,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.051141978584449695,1092.0,7.41,Low,Regular Promotional Email
1,25,98.5,2514.5,1,96.71153846153848,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.7712697622878466,2462.5,62.63,High,20% Discount
0,1,20.2,20.2,0,10.1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0.6163363663967054,20.2,43.21,Medium,Welcome Offer + Personalized Email
0,1,19.45,19.45,0,9.725,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0.5437189381353611,19.45,38.13,Low,Regular Promotional Email
0,38,95.0,3605.6,0,92.45128205128204,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.29337329382584526,3610.0,33.2,Low,Regular Promotional Email
1,66,45.55,3027.25,0,45.18283582089552,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2420898730071786,3006.2999999999997,27.49,Low,Regular Promotional Email
0,68,110.0,7611.85,1,110.31666666666668,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.3950548850135506,7480.0,53.9,Medium,10% Discount + Plan Upgrade Recommendation
0,5,24.3,100.2,0,16.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.607847092167995,121.5,42.98,Medium,Welcome Offer + Personalized Email
0,72,104.15,7303.05,0,100.0417808219178,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0.24673518883950393,7498.8,43.58,Medium,10% Discount + Plan Upgrade Recommendation
0,32,30.15,927.65,0,28.11060606060606,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.24119181424140848,964.8,20.27,Low,Regular Promotional Email
0,43,94.35,3921.3,0,89.12045454545455,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.418325340417057,4057.0499999999997,43.52,Medium,10% Discount + Plan Upgrade Recommendation
0,72,19.4,1363.25,0,18.67465753424657,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.0166501253088891,1396.8,6.07,Low,Regular Promotional Email
0,55,96.75,5238.9,1,93.55178571428571,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.516537902527367,5321.25,54.83,Medium,10% Discount + Plan Upgrade Recommendation
0,52,57.95,3042.25,0,57.40094339622642,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.09907486378606836,3013.4,17.51,Low,Regular Promotional Email
0,43,91.65,3954.1,0,89.86590909090908,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0.5519503882798216,3940.9500000000003,52.46,Medium,10% Discount + Plan Upgrade Recommendation
1,37,76.5,2868.15,1,75.47763157894737,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.6928641198101554,2830.5,58.43,Medium,10% Discount + Plan Upgrade Recommendation
0,64,54.6,3423.5,0,52.66923076923077,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0.1714943388603489,3494.4,24.27,Low,Regular Promotional Email
0,3,89.85,248.4,0,62.1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.6115975154665316,269.54999999999995,43.76,Medium,Welcome Offer + Personalized Email
0,36,31.05,1126.35,0,30.44189189189189,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.17584442045145954,1117.8,16.23,Low,Regular Promotional Email
0,10,100.25,1064.65,1,96.78636363636365,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.8687028484027411,1002.5,64.33,High,20% Discount
0,41,20.65,835.15,0,19.88452380952381,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.01021488726950301,846.65,3.69,Low,Regular Promotional Email
0,27,85.2,2151.6,0,76.84285714285714,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.44976714317089567,2300.4,39.56,Low,Regular Promotional Email
