SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,AverageMonthlySpend,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,predicted_churn,Churn_Probability,Customer_Grade,Retention_Action
0,25,105.5,2686.05,0,103.3096153846154,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0.6926161201855826,Grade C (Medium Risk),Offer 10% Discount
0,69,113.25,7895.15,0,112.78785714285712,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0.06786767309121546,Grade E (Safe),No Action Required
0,52,20.65,1022.95,0,19.300943396226412,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.036072282206030454,Grade E (Safe),No Action Required
0,71,106.7,7382.25,0,102.53125,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.2290721942159307,Grade E (Safe),No Action Required
0,10,55.2,528.35,1,48.03181818181818,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3602762500236448,Grade D (Low Risk),Send Personalized Email
0,21,90.05,1862.9,0,84.67727272727274,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0.6914172160282301,Grade C (Medium Risk),Offer 10% Discount
1,1,39.65,39.65,1,19.825,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0.9226920234353654,Grade A (Critical Risk),Free 1 Month Subscription
0,12,19.8,202.25,0,15.557692307692308,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.14043989778608965,Grade E (Safe),No Action Required
0,1,20.15,20.15,1,10.075,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0.7252305350957936,Grade C (Medium Risk),Offer 10% Discount
0,58,59.9,3505.1,0,59.40847457627118,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.05591246196389509,Grade E (Safe),No Action Required
0,49,59.6,2970.3,0,59.406000000000006,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.16891449390265326,Grade E (Safe),No Action Required
0,30,55.3,1530.6,0,49.37419354838709,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.23678876708243823,Grade E (Safe),No Action Required
0,47,99.35,4749.15,1,98.940625,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.7130764255534202,Grade C (Medium Risk),Offer 10% Discount
0,1,30.2,30.2,1,15.1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.7562525546277437,Grade B (High Risk),Offer 15% Discount
0,72,90.25,6369.45,0,87.2527397260274,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0.004750024072384937,Grade E (Safe),No Action Required
0,17,64.7,1093.1,1,60.727777777777774,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0.5335652095814367,Grade C (Medium Risk),Offer 10% Discount
1,71,96.35,6766.95,0,93.98541666666668,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.09205639316906387,Grade E (Safe),No Action Required
1,2,95.5,181.65,0,60.55,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0.7901690950922099,Grade B (High Risk),Offer 15% Discount
0,27,66.15,1874.45,0,66.94464285714285,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.16240070224845446,Grade E (Safe),No Action Required
0,1,20.2,20.2,0,10.1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0.5301542526062779,Grade C (Medium Risk),Offer 10% Discount
1,1,45.25,45.25,0,22.625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.756105771751057,Grade B (High Risk),Offer 15% Discount
0,72,99.9,7251.7,0,99.33835616438355,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.06428975209836786,Grade E (Safe),No Action Required
0,5,69.7,316.9,1,52.81666666666666,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7976316013585407,Grade B (High Risk),Offer 15% Discount
0,46,74.8,3548.3,0,75.49574468085106,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.4757971718608314,Grade D (Low Risk),Send Personalized Email
0,34,106.35,3549.25,1,101.40714285714286,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.7386831401016696,Grade C (Medium Risk),Offer 10% Discount
0,11,97.85,1105.4,1,92.11666666666667,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.9031828874293728,Grade A (Critical Risk),Offer 20% Discount + Premium Support
0,10,49.55,475.7,0,43.24545454545454,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3017451981405385,Grade D (Low Risk),Send Personalized Email
0,70,69.2,4872.35,0,68.62464788732395,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.07183014225580185,Grade E (Safe),No Action Required
0,17,20.75,418.25,0,23.23611111111111,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0.11603174544198992,Grade E (Safe),No Action Required
0,63,79.85,4861.45,0,75.96015625,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0.07281096297642405,Grade E (Safe),No Action Required
0,13,76.2,981.45,0,70.10357142857143,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.4274077393941485,Grade D (Low Risk),Send Personalized Email
0,49,84.5,3906.7,0,78.134,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0.6579524478446601,Grade C (Medium Risk),Offer 10% Discount
0,2,49.25,97.0,0,32.333333333333336,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6667372620154727,Grade C (Medium Risk),Offer 10% Discount
0,2,80.65,144.15,1,48.05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.8723264459158512,Grade B (High Risk),Offer 15% Discount
0,52,79.75,4217.8,0,79.5811320754717,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.06612129028925526,Grade E (Safe),No Action Required
0,69,64.15,4254.1,0,60.77285714285715,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0.06354120241018829,Grade E (Safe),No Action Required
1,43,90.25,3838.75,0,87.24431818181819,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.6716829972341449,Grade C (Medium Risk),Offer 10% Discount
0,15,99.1,1426.4,1,89.15,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0.7439414435986433,Grade C (Medium Risk),Offer 10% Discount
1,25,69.5,1752.65,0,67.40961538461539,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0.20622112027740389,Grade E (Safe),No Action Required
1,8,80.65,633.3,1,70.36666666666666,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.8130376863860393,Grade B (High Risk),Offer 15% Discount
1,60,74.85,4456.35,0,73.05491803278689,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0.18658424287419195,Grade E (Safe),No Action Required
1,18,95.45,1752.55,1,92.23947368421052,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.8422840768105448,Grade B (High Risk),Offer 15% Discount
0,63,99.65,6311.2,0,98.6125,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0.36021538032198613,Grade D (Low Risk),Send Personalized Email
1,66,108.45,7076.35,0,105.61716417910448,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.4348727872946884,Grade D (Low Risk),Send Personalized Email
0,34,24.95,894.3,0,25.55142857142857,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.03963868519182102,Grade E (Safe),No Action Required
0,72,107.5,7853.7,0,107.58493150684932,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0.2137067074969513,Grade E (Safe),No Action Required
0,47,100.5,4707.1,0,98.06458333333336,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.6977176596634537,Grade C (Medium Risk),Offer 10% Discount
0,60,89.9,5450.7,0,89.35573770491803,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.427164335128069,Grade D (Low Risk),Send Personalized Email
0,72,42.1,2962.0,0,40.57534246575342,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08352164252959998,Grade E (Safe),No Action Required
0,18,54.4,957.1,0,50.37368421052632,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0.28771009525983016,Grade E (Safe),No Action Required
0,9,94.4,857.25,1,85.725,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.8646971954184193,Grade B (High Risk),Offer 15% Discount
0,3,75.3,244.1,0,61.025,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0.5755951258269878,Grade C (Medium Risk),Offer 10% Discount
0,47,78.9,3650.35,0,76.04895833333333,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.3596860181880529,Grade D (Low Risk),Send Personalized Email
0,31,79.2,2497.2,0,78.0375,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0.07105675525838205,Grade E (Safe),No Action Required
0,50,20.15,930.9,0,18.25294117647059,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.022779913827027445,Grade E (Safe),No Action Required
0,10,79.85,887.35,0,80.66818181818182,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0.6505908704608339,Grade C (Medium Risk),Offer 10% Discount
0,1,49.05,49.05,0,24.525,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.6149237387948325,Grade C (Medium Risk),Offer 10% Discount
0,52,20.4,1090.65,0,20.578301886792456,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.047687612030041994,Grade E (Safe),No Action Required
1,64,111.6,7099.0,0,109.21538461538462,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.24711558594421543,Grade E (Safe),No Action Required
0,62,24.25,1424.6,0,22.61269841269841,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.041874350680370376,Grade E (Safe),No Action Required
0,3,64.5,177.4,0,44.35,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.46249218125107794,Grade D (Low Risk),Send Personalized Email
1,56,110.5,6139.5,0,107.71052631578948,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0.45030059158633595,Grade D (Low Risk),Send Personalized Email
0,46,55.65,2688.85,0,57.2095744680851,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.20858206619277925,Grade E (Safe),No Action Required
0,8,54.65,482.25,0,53.583333333333336,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.31855554802348207,Grade D (Low Risk),Send Personalized Email
1,30,74.75,2111.3,0,68.10645161290323,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.3409377527995492,Grade D (Low Risk),Send Personalized Email
0,45,25.9,1216.6,0,26.44782608695652,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0.09494066198682515,Grade E (Safe),No Action Required
0,1,79.35,79.35,1,39.675,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.9209960760333039,Grade A (Critical Risk),Free 1 Month Subscription
0,11,50.55,565.35,0,47.1125,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.4905522275317126,Grade D (Low Risk),Send Personalized Email
0,7,75.15,496.9,1,62.1125,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.8089113869988295,Grade B (High Risk),Offer 15% Discount
0,42,103.8,4327.5,0,100.63953488372093,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0.5109478221406991,Grade C (Medium Risk),Offer 10% Discount
0,49,20.15,973.35,0,19.467,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.01798514741832668,Grade E (Safe),No Action Required
0,9,99.3,918.75,0,91.875,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0.8661646736975464,Grade B (High Risk),Offer 15% Discount
0,35,62.15,2215.45,0,61.540277777777774,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.118321764658476,Grade E (Safe),No Action Required
0,48,20.65,1057.0,0,21.571428571428573,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.02370552114804616,Grade E (Safe),No Action Required
0,46,19.95,927.1,0,19.72553191489362,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0.022012302368526603,Grade E (Safe),No Action Required
0,29,33.75,1009.25,0,33.641666666666666,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4310264214509263,Grade D (Low Risk),Send Personalized Email
0,30,82.05,2570.2,0,82.90967741935484,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4265037378703821,Grade D (Low Risk),Send Personalized Email
1,1,74.7,74.7,0,37.35,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.7206718392249242,Grade C (Medium Risk),Offer 10% Discount
0,66,84.0,5714.25,0,85.28731343283582,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0.047542417543696786,Grade E (Safe),No Action Required
0,65,111.05,7107.0,0,107.6818181818182,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0.32558488216661213,Grade D (Low Risk),Send Personalized Email
0,72,100.9,7459.05,0,102.17876712328768,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.20537345396055598,Grade E (Safe),No Action Required
0,12,78.95,927.35,1,71.33461538461539,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7733715201818859,Grade B (High Risk),Offer 15% Discount
0,71,66.85,4748.7,0,65.95416666666667,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0.09443084902397482,Grade E (Safe),No Action Required
0,5,21.05,113.85,1,18.975,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.30320692615102784,Grade D (Low Risk),Send Personalized Email
0,52,21.0,1107.2,0,20.89056603773585,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0.04653156839208363,Grade E (Safe),No Action Required
1,25,98.5,2514.5,1,96.71153846153848,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0.7678627055959195,Grade B (High Risk),Offer 15% Discount
0,1,20.2,20.2,0,10.1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0.656523310593364,Grade C (Medium Risk),Offer 10% Discount
0,1,19.45,19.45,0,9.725,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0.5858077574421204,Grade C (Medium Risk),Offer 10% Discount
0,38,95.0,3605.6,0,92.45128205128204,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.2712495481518106,Grade E (Safe),No Action Required
1,66,45.55,3027.25,0,45.18283582089552,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.23233289572425514,Grade E (Safe),No Action Required
0,68,110.0,7611.85,1,110.31666666666668,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0.4227702501809657,Grade D (Low Risk),Send Personalized Email
0,5,24.3,100.2,0,16.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5919314310942326,Grade C (Medium Risk),Offer 10% Discount
0,72,104.15,7303.05,0,100.0417808219178,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0.29004154604100313,Grade E (Safe),No Action Required
0,32,30.15,927.65,0,28.11060606060606,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.22104018258126132,Grade E (Safe),No Action Required
0,43,94.35,3921.3,0,89.12045454545455,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.3885300343347899,Grade D (Low Risk),Send Personalized Email
0,72,19.4,1363.25,0,18.67465753424657,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0.013210200738760221,Grade E (Safe),No Action Required
0,55,96.75,5238.9,1,93.55178571428571,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.5432637252596689,Grade C (Medium Risk),Offer 10% Discount
0,52,57.95,3042.25,0,57.40094339622642,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.09451978668390289,Grade E (Safe),No Action Required
0,43,91.65,3954.1,0,89.86590909090908,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0.5349465607975707,Grade C (Medium Risk),Offer 10% Discount
1,37,76.5,2868.15,1,75.47763157894737,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7086648374016161,Grade C (Medium Risk),Offer 10% Discount
0,64,54.6,3423.5,0,52.66923076923077,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0.16091094066101916,Grade E (Safe),No Action Required
0,3,89.85,248.4,0,62.1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.6081753349478175,Grade C (Medium Risk),Offer 10% Discount
0,36,31.05,1126.35,0,30.44189189189189,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.15812448792055198,Grade E (Safe),No Action Required
0,10,100.25,1064.65,1,96.78636363636365,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0.873063689106646,Grade B (High Risk),Offer 15% Discount
0,41,20.65,835.15,0,19.88452380952381,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0.009085393987153835,Grade E (Safe),No Action Required
0,27,85.2,2151.6,0,76.84285714285714,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.45710693472828645,Grade D (Low Risk),Send Personalized Email
0,56,99.8,5515.45,0,96.76228070175438,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0.42268763759492584,Grade D (Low Risk),Send Personalized Email
0,6,20.7,112.75,0,16.107142857142858,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.20078075315497582,Grade E (Safe),No Action Required
0,3,74.4,229.55,1,57.3875,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.8798919566173921,Grade B (High Risk),Offer 15% Discount
0,7,50.7,350.35,0,43.79375,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.36901602054929405,Grade D (Low Risk),Send Personalized Email
0,4,20.85,62.9,0,12.58,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.23324891713725837,Grade E (Safe),No Action Required
0,33,88.95,3027.65,0,89.0485294117647,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0.25562317205177015,Grade E (Safe),No Action Required
1,27,78.05,2135.5,1,76.26785714285714,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.6816563591639895,Grade C (Medium Risk),Offer 10% Discount
0,72,23.55,1723.95,0,23.61575342465753,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.020657286778548334,Grade E (Safe),No Action Required
