gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AverageMonthlySpend,Churn,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Recommendation_Reason,Retention_Action,Revenue_At_Risk
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,19.223529411764705,0,0,0.0746029402815866,303.2,6.29,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,1.4137257183360659
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,96.28983050847458,0,0,0.4047528229087882,5820.299999999999,48.75,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,40.6169457788969
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,100.726,1,1,0.6871228893962048,5081.3,65.93,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade,71.25464363038644
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,103.3096153846154,0,1,0.6698571468820097,2637.5,56.14,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,70.66992899605202
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,112.78785714285712,0,0,0.0753369564585452,7814.25,32.69,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,8.531910318930244
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,19.30094339622641,0,0,0.0534954958963913,1073.8,7.51,Low,Customer currently has low churn risk.,Regular Promotional Email,1.1046819902604803
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,102.53125,0,0,0.111226265983928,7575.7,34.37,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,11.867842580485117
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,48.03181818181818,1,0,0.2936568381863667,552.0,22.49,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,16.209857467887442
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,84.67727272727274,0,1,0.7622598248615211,1891.05,59.99,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,68.64149722877997
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,19.825,1,1,0.876942693553711,39.65,61.53,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,34.77077779940464
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,15.557692307692308,0,0,0.1756880286489537,237.6,13.13,Low,Customer currently has low churn risk.,Regular Promotional Email,3.4786229672492834
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,10.075,1,0,0.4204960026027495,20.15,29.51,Low,Customer currently has low churn risk.,Regular Promotional Email,8.472994452445402
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,59.40847457627118,0,0,0.054866188878156,3474.2,16.03,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,3.2864847138015443
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,59.406000000000006,0,0,0.0774446600950886,2920.4,15.67,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,4.615701741667281
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,49.37419354838709,0,0,0.2913141149020631,1659.0,26.21,Low,Customer currently has low churn risk.,Regular Promotional Email,16.10967055408409
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,98.940625,1,1,0.7135744796190342,4669.45,66.33,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount,70.89362455015105
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,15.1,1,1,0.6676419437197081,30.2,46.84,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,20.162786700335182
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,87.2527397260274,0,0,0.0553608022352181,6498.0,26.68,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,4.996312401728434
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,60.727777777777774,1,1,0.5717756892047962,1099.9,43.88,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,36.99388709155031
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,93.98541666666668,0,0,0.071488110576038,6840.849999999999,29.01,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,6.887879454001261
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,60.55,0,1,0.9154682450395616,191.0,64.75,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,87.42721740127813
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,66.94464285714285,0,0,0.0557203962246941,1786.0500000000002,10.17,Low,Customer currently has low churn risk.,Regular Promotional Email,3.6859042102635153
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,10.1,0,0,0.4203449521164805,20.2,29.5,Low,Customer currently has low churn risk.,Regular Promotional Email,8.490968032752905
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,22.625,0,1,0.6335056640593951,45.25,44.5,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,28.66613129868763
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,99.33835616438355,0,0,0.0498249932677226,7192.8,28.73,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,4.977516827445488
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,52.81666666666666,1,1,0.8552892766674742,348.5,61.09,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,59.613662583722956
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,75.49574468085106,0,0,0.4829083441557447,3440.8,45.88,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,36.1215441428497
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,101.40714285714286,1,1,0.8059890287207703,3615.9,69.11,High,Customer has high monthly charges.,25% Discount,85.71693320445391
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,92.11666666666667,1,1,0.8552856058242125,1076.35,63.65,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,83.6896965298992
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,43.24545454545454,0,0,0.2051544605933208,495.5,16.1,Low,Customer currently has low churn risk.,Regular Promotional Email,10.165403522399044
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,68.62464788732395,0,0,0.0399873089997188,4844.0,19.8,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,2.767121782780541
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,23.23611111111111,0,0,0.1014894288088865,352.75,8.34,Low,Customer currently has low churn risk.,Regular Promotional Email,2.105905647784395
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,75.96015625,0,0,0.0451903311354237,5030.549999999999,20.81,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,3.608447941163582
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,70.10357142857143,0,1,0.5197679994700916,990.6,39.86,Low,Customer currently has low churn risk.,Regular Promotional Email,39.60632155962098
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,78.134,0,1,0.7580767035570386,4140.5,67.59,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount,64.05748145056977
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,32.333333333333336,0,1,0.5428311812116673,98.5,38.34,Low,Customer currently has low churn risk.,Regular Promotional Email,26.734435674674614
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,48.05,1,1,0.9180084827673736,161.3,64.83,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,74.03738413518869
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,79.5811320754717,0,0,0.0976477962263868,4147.0,21.39,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,7.787411749054347
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,60.77285714285715,0,0,0.0257118461392347,4426.35,17.33,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,1.649414929831906
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,87.24431818181819,0,1,0.7221180453105818,3880.75,64.16,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount,65.17115358928001
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,89.15,1,1,0.7286794658819041,1486.5,56.22,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,72.2121350688967
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,67.40961538461539,0,0,0.4008115339150199,1737.5,34.15,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,27.856401607093883
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,70.36666666666666,1,1,0.782209028066087,645.2,57.02,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,63.08515811352993
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,73.05491803278689,0,0,0.0619964589165534,4491.0,20.1,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,4.640434949904022
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,92.23947368421052,1,1,0.8836560744010153,1718.1,67.88,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount,84.34497230157692
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,98.6125,0,0,0.325289924563428,6277.950000000001,44.8,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,32.4151409827456
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,105.61716417910448,0,0,0.3809903034838577,7157.7,51.78,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,41.31839841282437
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,25.55142857142857,0,0,0.0432147657729971,848.3,6.0,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,1.0782084060362775
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,107.58493150684932,0,0,0.1915832833752709,7740.0,40.57,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,20.595202962841622
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,98.06458333333336,0,1,0.7846069237334771,4723.5,71.5,High,Customer has high monthly charges.,25% Discount,78.85299583521444
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,89.35573770491803,0,1,0.5436603475108757,5394.0,56.98,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,48.87506524122772
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,40.57534246575342,0,0,0.0229942396487178,3031.2000000000003,12.25,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.9680574892110194
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,50.37368421052632,0,0,0.1836149433614763,979.2,16.29,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,9.988652918864311
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,85.725,1,1,0.8720344299360883,849.6,64.02,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,82.32005018596674
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,61.025,0,1,0.7285627348537053,225.9,51.79,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,54.860773934484
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,76.04895833333333,0,0,0.4625991055869579,3708.3,45.39,Medium,Customer is not using Online Security.,Free Online Security Trial,36.49906943081098
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,78.0375,0,0,0.0900515962302701,2455.2000000000003,14.92,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,7.132086421437393
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,18.25294117647059,0,0,0.0208401261174396,1007.5,4.99,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.41992854126640794
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,80.66818181818182,0,1,0.5890897544882971,798.5,44.04,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,47.03881689589053
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,24.525,0,1,0.5587273717794757,49.05,39.28,Low,Customer currently has low churn risk.,Regular Promotional Email,27.405577585783284
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,20.578301886792456,0,0,0.0810002522717796,1060.8,9.39,Low,Customer currently has low churn risk.,Regular Promotional Email,1.6524051463443037
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,109.21538461538462,0,0,0.1363267566237208,7142.4,34.6,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,15.214066039207239
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,22.61269841269841,0,0,0.0300709425436513,1503.5,7.38,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,0.729220356683544
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,44.35,0,1,0.5176603969079923,193.5,36.92,Low,Customer currently has low churn risk.,Regular Promotional Email,33.389095600565504
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,107.71052631578948,0,0,0.3754143363698562,6188.0,47.99,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,41.48328416886911
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,57.2095744680851,0,0,0.1578465180057583,2559.9,20.03,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,8.784158727020449
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,53.583333333333336,0,0,0.2503191922129934,437.2,19.06,Low,Customer currently has low churn risk.,Regular Promotional Email,13.67994385444009
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,68.10645161290323,0,1,0.5408442916350786,2242.5,45.73,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,40.42811079972213
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,26.44782608695652,0,0,0.0927551892350511,1165.5,10.58,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward,2.4023594011878235
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,39.675,1,1,0.9135148889202708,79.35,64.22,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,72.48740643582349
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,47.1125,0,1,0.6077987022267707,556.05,44.5,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,30.724224397563255
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,62.1125,1,1,0.7579530207394821,526.0500000000001,54.9,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,56.960169508572086
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,100.63953488372093,0,1,0.5685067262347068,4359.599999999999,55.09,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,59.01099818316256
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,19.467,0,0,0.0410487867759807,987.35,6.34,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.8271330535360111
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,91.875,0,1,0.8522156216830422,893.6999999999999,62.79,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation,84.62501123312609
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,61.540277777777774,0,0,0.1847133666609192,2175.25,20.56,Low,Customer currently has low churn risk.,Regular Promotional Email,11.479935737976128
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,21.571428571428573,0,0,0.0208650979910233,991.2,4.94,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.43086427351463114
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,19.72553191489362,0,0,0.0336837579247678,917.7,5.58,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus,0.6719909705991176
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,33.641666666666666,0,0,0.4729424693711874,978.75,36.54,Low,Customer currently has low churn risk.,Regular Promotional Email,15.961808341277575
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,82.90967741935484,0,0,0.3535300290253338,2461.5,33.38,Low,Customer uses Fiber internet but currently has low churn priority.,Free Streaming Service Trial,29.00713888152864
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,37.35,0,1,0.8422909557548753,74.7,59.22,Medium,Customer is relatively new.,Welcome Offer + Personalized Email,62.91913439488919
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,85.28731343283582,0,0,0.0520481934883903,5544.0,23.1,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards,4.3720482530247855
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,107.6818181818182,0,1,0.5178583273514541,7218.25,61.58,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade,57.508167252378975
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,102.17876712328768,0,0,0.2335973570895233,7264.8,41.84,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill,23.569973330332903
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,71.33461538461539,1,1,0.7813851595719162,947.4,58.02,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract,61.690358348202786
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,65.95416666666667,0,0,0.0443963917748242,4746.349999999999,19.76,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon,2.9678987901469975
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,18.975,1,0,0.3397702378180992,105.25,24.15,Low,Customer currently has low churn risk.,Regular Promotional Email,7.152163506070988
