gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AverageMonthlySpend,Churn,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Recommendation_Reason,Retention_Action
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,10.075,1,0,0.4204960026027495,20.15,29.51,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,59.40847457627118,0,0,0.05486618887815601,3474.2,16.03,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,59.406000000000006,0,0,0.07744466009508869,2920.4,15.67,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,49.37419354838709,0,0,0.29131411490206316,1659.0,26.21,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,98.940625,1,1,0.7135744796190342,4669.45,66.33,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,15.1,1,1,0.6676419437197081,30.2,46.84,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,87.2527397260274,0,0,0.05536080223521814,6498.0,26.68,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,60.727777777777774,1,1,0.5717756892047962,1099.9,43.88,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,93.98541666666668,0,0,0.07148811057603809,6840.849999999999,29.01,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,60.55,0,1,0.9154682450395615,191.0,64.75,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,66.94464285714285,0,0,0.05572039622469417,1786.0500000000002,10.17,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,10.1,0,0,0.4203449521164805,20.2,29.5,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,22.625,0,1,0.6335056640593951,45.25,44.5,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,99.33835616438355,0,0,0.049824993267722696,7192.8,28.73,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,52.81666666666666,1,1,0.8552892766674742,348.5,61.09,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,75.49574468085106,0,0,0.4829083441557447,3440.7999999999997,45.88,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,101.40714285714286,1,1,0.8059890287207703,3615.8999999999996,69.11,High,Customer has high monthly charges.,25% Discount
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,92.11666666666667,1,1,0.8552856058242125,1076.35,63.65,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,43.24545454545454,0,0,0.20515446059332088,495.5,16.1,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,68.62464788732395,0,0,0.03998730899971883,4844.0,19.8,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,23.23611111111111,0,0,0.10148942880888659,352.75,8.34,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,75.96015625,0,0,0.04519033113542379,5030.549999999999,20.81,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,70.10357142857143,0,1,0.5197679994700916,990.6,39.86,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,78.134,0,1,0.7580767035570386,4140.5,67.59,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,32.333333333333336,0,1,0.5428311812116673,98.5,38.34,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,48.05,1,1,0.9180084827673736,161.3,64.83,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,79.5811320754717,0,0,0.09764779622638685,4147.0,21.39,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,60.77285714285715,0,0,0.02571184613923479,4426.35,17.33,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,87.24431818181819,0,1,0.7221180453105818,3880.75,64.16,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,89.15,1,1,0.7286794658819041,1486.5,56.22,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,67.40961538461539,0,0,0.4008115339150199,1737.5,34.15,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,70.36666666666666,1,1,0.782209028066087,645.2,57.02,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,73.05491803278689,0,0,0.061996458916553435,4491.0,20.1,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,92.23947368421052,1,1,0.8836560744010153,1718.1000000000001,67.88,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,98.6125,0,0,0.325289924563428,6277.950000000001,44.8,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,105.61716417910448,0,0,0.3809903034838577,7157.7,51.78,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,25.55142857142857,0,0,0.04321476577299719,848.3,6.0,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,107.58493150684932,0,0,0.19158328337527095,7740.0,40.57,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,98.06458333333336,0,1,0.7846069237334771,4723.5,71.5,High,Customer has high monthly charges.,25% Discount
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,89.35573770491803,0,1,0.5436603475108757,5394.0,56.98,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,40.57534246575342,0,0,0.022994239648717822,3031.2000000000003,12.25,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,50.37368421052632,0,0,0.18361494336147638,979.1999999999999,16.29,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,85.725,1,1,0.8720344299360883,849.6,64.02,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,61.025,0,1,0.7285627348537053,225.89999999999998,51.79,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,76.04895833333333,0,0,0.4625991055869579,3708.3,45.39,Medium,Customer is not using Online Security.,Free Online Security Trial
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,78.0375,0,0,0.09005159623027016,2455.2000000000003,14.92,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,18.25294117647059,0,0,0.02084012611743963,1007.4999999999999,4.99,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,80.66818181818182,0,1,0.5890897544882971,798.5,44.04,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,24.525,0,1,0.5587273717794757,49.05,39.28,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,20.578301886792456,0,0,0.08100025227177964,1060.8,9.39,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,109.21538461538462,0,0,0.13632675662372085,7142.4,34.6,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,22.61269841269841,0,0,0.03007094254365131,1503.5,7.38,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,44.35,0,1,0.5176603969079923,193.5,36.92,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,107.71052631578948,0,0,0.3754143363698562,6188.0,47.99,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,57.2095744680851,0,0,0.15784651800575836,2559.9,20.03,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,53.583333333333336,0,0,0.2503191922129934,437.2,19.06,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,68.10645161290323,0,1,0.5408442916350786,2242.5,45.73,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,26.44782608695652,0,0,0.09275518923505115,1165.5,10.58,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,39.675,1,1,0.9135148889202707,79.35,64.22,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,47.1125,0,1,0.6077987022267707,556.05,44.5,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,62.1125,1,1,0.7579530207394821,526.0500000000001,54.9,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,100.63953488372093,0,1,0.5685067262347068,4359.599999999999,55.09,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,19.467,0,0,0.041048786775980714,987.3499999999999,6.34,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,91.875,0,1,0.8522156216830422,893.6999999999999,62.79,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,61.540277777777774,0,0,0.18471336666091928,2175.25,20.56,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,21.571428571428573,0,0,0.020865097991023353,991.1999999999999,4.94,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,19.72553191489362,0,0,0.03368375792476786,917.6999999999999,5.58,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,33.641666666666666,0,0,0.47294246937118745,978.75,36.54,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,82.90967741935484,0,0,0.35353002902533387,2461.5,33.38,Low,Customer uses Fiber internet but currently has low churn priority.,Free Streaming Service Trial
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,37.35,0,1,0.8422909557548753,74.7,59.22,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,85.28731343283582,0,0,0.05204819348839038,5544.0,23.1,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,107.6818181818182,0,1,0.5178583273514541,7218.25,61.58,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,102.17876712328768,0,0,0.2335973570895233,7264.8,41.84,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,71.33461538461539,1,1,0.7813851595719162,947.4000000000001,58.02,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,65.95416666666667,0,0,0.044396391774824275,4746.349999999999,19.76,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,18.975,1,0,0.33977023781809923,105.25,24.15,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,20.89056603773585,0,0,0.025276965365021806,1092.0,5.6,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,96.71153846153848,1,1,0.7881905726431873,2462.5,63.81,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,10.1,0,0,0.4203449521164805,20.2,29.5,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,9.725,0,0,0.4364426231753682,19.45,30.62,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,92.45128205128204,0,0,0.328869007513857,3610.0,35.69,Low,Customer uses Fiber internet but currently has low churn priority.,Free Streaming Service Trial
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,45.18283582089552,0,0,0.10643669437028798,3006.2999999999997,18.0,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
